GOV_AZ_DUCEY_BARACK_OBAMA	HnR4J6O8yQ0
GOV_AZ_DUCEY_DIFFERENT_RESUMES	5hzSXhjPbYo
GOV_AZ_DUCEY_JOE_ARPAIO	WBwdfe6NQwk
GOV_AZ_DUCEY_JONES_TALKS_TOUGH	ujEX0gUAzLo
GOV_AZ_DUCEY_KELLY_TERRY-WILLIS	nQtjqD7yRx8
GOV_AZ_DUCEY_LEADERS	Q0PCJ3N3lGo
GOV_AZ_DUCEY_LET_ME_TELL_YOU	ybpUBm-CZXI
GOV_AZ_DUCEY_NEXT_GOVERNOR	8IaDDyIUau0
GOV_AZ_DUCEY_SERVING_ICE_CREAM	5oSrQSOj45c
GOV_AZ_DUCEY_SERVING_ICE_CREAM_REV	5oSrQSOj45c
GOV_AZ_DUCEY_THE_ISSUES	1dnFb5DqE44
GOV_AZ_DUCEY_THE_REAL_FACTS	pwNOcipJzto
GOV_AZ_DUCEY_TOUGH_PROBLEMS	
GOV_AZ_DUVAL_AS_CEO	IeC30GlAxZQ
GOV_AZ_DUVAL_GRANT_WOODS	HHYSQH4TyOo
GOV_AZ_DUVAL_INDEPENDENCE	rpBxrl4gg4Y
GOV_AZ_DUVAL_WRONG_DIRECTION	YXiW9bOeM-4
GOV_CA_KASHKARI_CLUELESS	G2EUV4Tx7Kc
GOV_CA_KASHKARI_RANKED_46_60	u-wqXpnKCGg
GOV_CA_KASHKARI_WHEN_KIDS	pEZFdmwqG3Q
GOV_CA_KASHKARI_WHEN_KIDS_REV	pEZFdmwqG3Q
GOV_CO_BEAUPREZ_IT'S_ALWAYS_THE_SAME	
GOV_CO_BEAUPREZ_ITS_SIMPLE	BuzCoRpcfb8
GOV_CO_BEAUPREZ_LIES_MANIPULATION	U_1_mQ9z1J4
GOV_CO_BEAUPREZ_OPPOSES_NEGATIVE_ADS	pO8n630x0GA
GOV_CO_BEAUPREZ_UNDER_JOHN_HICKENLOOPER	KzA2jAYNwHY
GOV_CO_BEAUPREZ_UNDER_JOHN_HICKENLOOPER_REV	KzA2jAYNwHY
GOV_CT_FOLEY_ARE_YOU_HAPPY	sn89t5tFoMo
GOV_CT_FOLEY_ARE_YOU_HAPPY_60	S_p7YhlObdo
GOV_CT_FOLEY_ARE_YOU_HAPPY_REV	GtmNQJG7s4s
GOV_CT_FOLEY_BIG_SQUEEZE	N2Odah7T8K4
GOV_CT_FOLEY_CAREER_POLITICIANS	1Aat-6aDMog
GOV_CT_FOLEY_CONNECTICUT_LOST	c7cUwGf10T0
GOV_CT_FOLEY_DESPERATE	g-8VGGs7610
GOV_CT_FOLEY_HAD_HIS_CHANCE	6bKVq7BNhTU
GOV_CT_FOLEY_I'VE_NEVER_MET	TUu-yHMp608
GOV_CT_FOLEY_LESLIE	xRdAqQWBdew
GOV_CT_FOLEY_MALLOY_ANGRY	9FzpVK0GxKs
GOV_CT_FOLEY_MALLOY_PROMISED	ZQvXUwKMtQ0
GOV_CT_FOLEY_MORE_IMPORTANT	47Wj2ZThqjM
GOV_CT_FOLEY_NEW_GOVERNOR	b1l0PowUqFg
GOV_CT_FOLEY_NO_MATTER_WHERE	
GOV_CT_FOLEY_NO_MATTER_WHERE_60	46OM9f2Imqo
GOV_CT_FOLEY_PROBLEM_WITH_THE_TRUTH	ROW2288T2cI
GOV_CT_FOLEY_SUCCESS_STORY	yohYluHEbAg
GOV_CT_FOLEY_WE_HAVE_A_PLAN	hwoGbOdwDEU
GOV_CT_FOLEY_WORKED_WITH	sGGb657ERPM
GOV_FL_CRIST_BILL_CLINTON	vQqQFVRte2s
GOV_FL_CRIST_FLORIDA_WOMEN	
GOV_FL_CRIST_FOR_THE_POWERFUL	
GOV_FL_CRIST_FOR_THE_POWERFUL_REV	
GOV_FL_CRIST_KEEPS_SAYING_IT	hUZ0XVmgxMg
GOV_FL_CRIST_PRIVATE_JET	EUK-6XL4Bac
GOV_FL_CRIST_THIS_OATH	
GOV_FL_CRIST_UNHEALTHY_PROFITS	kiLxUAd0Y_g
GOV_FL_CRIST_WE'RE_FAMOUS	a8rLScdk66M
GOV_FL_SCOTT_CAREER_POLITICIAN	
GOV_FL_SCOTT_FLORIDA_LOST_REV	
GOV_FL_SCOTT_MIKAEL_DUARTE_SP	
GOV_FL_SCOTT_NOT_ON_THE_BALLOT	
GOV_FL_SCOTT_OUR_COASTLINE	
GOV_FL_SCOTT_RUDY_GIULIANI	CN4bWd347JI
GOV_FL_SCOTT_VILARINO_FAMILY_SP	
GOV_GA_CARTER&DPOG_A_LOT_OF_POLITICIANS	6QzB1Kwrzjo
GOV_GA_CARTER&DPOG_GEORGIA_IS_READY	2t3aql-wPC8
GOV_GA_CARTER&DPOG_REMEMBER	kB5iGvYoJ9w
GOV_GA_CARTER_9TH_GENERATION_60	1EirY2GhVAw
GOV_GA_CARTER_A_LOT_OF_POLITICIANS	6QzB1Kwrzjo
GOV_GA_CARTER_BIG_BUSINESS	
GOV_GA_CARTER_CAME_INTO_OFFICE	MI-mMUa01-g
GOV_GA_CARTER_CAPITOL_TODAY	8VjivaNnYvA
GOV_GA_CARTER_DEAL_TALKS_ABOUT	ufOCku0DvI4
GOV_GA_CARTER_FALSE_NEGATIVE_ADS	X5ukgiCrxZI
GOV_GA_CARTER_GEORGIA_IS_READY	
GOV_GA_CARTER_LAST_5_YEARS	8gAn5GZSqXg
GOV_GA_CARTER_MY_FOCUS	r9kjVsBOtDk
GOV_GA_CARTER_MY_KIDS_60	GhNUpiqLfk0
GOV_GA_CARTER_POWER_OF_EDUCATION	
GOV_GA_DEAL_DAWN_PUGH_JUSTUS	jdpAaBhqILA
GOV_GA_DEAL_FIRST_PLACE	uyIvGoPPZXo
GOV_GA_DEAL_GIFT_OF_GAB	
GOV_GA_DEAL_HONOR	
GOV_GA_DEAL_NUMBER_ONE	eo5jpm_x-pk
GOV_GA_DEAL_ONE_GOAL	iw_cQ-yvyfU
GOV_GA_DEAL_ON_THE_MOVE	LEvUuFpqCHU
GOV_GA_DEAL_SANDRA_DEAL	mafaglOeiIE
GOV_GA_DEAL_SCORE_POLITICAL_POINTS	eHpRUiEQWmU
GOV_GA_DEAL_SENATOR_JASON_CARTER_15	8kNNbRLlR8c
GOV_GA_DEAL_SUCCESS	Bo5dNLOXZ4c
GOV_GA_DEAL_TELLING_THE_TRUTH	
GOV_GA_DEAL_THREE_YEARS_IN_A_ROW_15	USwyevHXkmQ
GOV_GA_DEAL_VETERAN	
GOV_HI_AIONA_CATHERINE	KW5McP2Mei8
GOV_HI_AIONA_CATHERINE_REV	KW5McP2Mei8
GOV_HI_AIONA_DECISION	
GOV_HI_AIONA_GREAT_QUOTE	
GOV_HI_AIONA_IT'S_TIME	-1NxX8HYP6Q
GOV_HI_AIONA_MIDDLE_CLASS	w__Xj25qWbU
GOV_HI_AIONA_MISLEADING_ATTACK_ADS	
GOV_HI_AIONA_MISLEADING_ATTACK_ADS_REV	
GOV_HI_AIONA_SEE_IT_EVERYWHERE	hwjCCbaYh00
