"race","yt_district","candidate","length","uid","uid_ext"
"gov2012","ND","Dalrymple",58.235644,"WBZ8ok57X_Q","ND_Dalrymple/WBZ8ok57X_Q"
"gov2012","ND","Dalrymple",60.416667,"ygdreg9tXEU","ND_Dalrymple/ygdreg9tXEU"
"gov2012","ND","Taylor",30.115,"1Bs0piQ4Rl0","ND_Taylor/1Bs0piQ4Rl0"
"gov2012","ND","Taylor",30.045,"GLEIcTFCT2Q","ND_Taylor/GLEIcTFCT2Q"
"gov2012","ND","Taylor",30.045,"troM4-wMAGo","ND_Taylor/troM4-wMAGo"
"gov2012","UT","Cooke",31.671667,"1wRm7OUqYyQ","UT_Cooke/1wRm7OUqYyQ"
"gov2012","UT","Cooke",16.856667,"b5qf7uif1N8","UT_Cooke/b5qf7uif1N8"
"gov2012","UT","Cooke",31.438333,"bvCNKY8eNfE","UT_Cooke/bvCNKY8eNfE"
"gov2012","UT","Cooke",29.141033,"Ccx272olY8g","UT_Cooke/Ccx272olY8g"
"gov2012","UT","Cooke",31.3,"HxPNJOydHeQ","UT_Cooke/HxPNJOydHeQ"
"gov2012","UT","Cooke",32.181667,"ocJq4YPRHxs","UT_Cooke/ocJq4YPRHxs"
"gov2012","UT","Cooke",16.996667,"WgjasR7U8vQ","UT_Cooke/WgjasR7U8vQ"
"gov2012","UT","Cooke",55.866667,"ZEzLprDaTpY","UT_Cooke/ZEzLprDaTpY"
"gov2012","UT","Herbert",27.328333,"-sR7CzikWnk","UT_Herbert/-sR7CzikWnk"
"gov2012","UT","Herbert",62.066933,"21-GPu8lQrk","UT_Herbert/21-GPu8lQrk"
"gov2012","UT","Herbert",32.043333,"5cfqt2OWi-w","UT_Herbert/5cfqt2OWi-w"
"gov2012","UT","Herbert",59.21,"AJvRL4QBNG8","UT_Herbert/AJvRL4QBNG8"
"gov2012","UT","Herbert",63.203333,"AV4lxXKZVUc","UT_Herbert/AV4lxXKZVUc"
"gov2012","UT","Herbert",62.113333,"DPpw-RGeJrY","UT_Herbert/DPpw-RGeJrY"
"gov2012","UT","Herbert",32.043333,"Hh8QeYYqFUQ","UT_Herbert/Hh8QeYYqFUQ"
"gov2012","UT","Herbert",57.33,"Kr3mLk7V4mU","UT_Herbert/Kr3mLk7V4mU"
"gov2012","UT","Herbert",62.113333,"MM-2-_bdO4I","UT_Herbert/MM-2-_bdO4I"
"gov2012","UT","Herbert",60.835,"MvZjqpbVpd4","UT_Herbert/MvZjqpbVpd4"
"gov2012","UT","Herbert",32.043333,"tPqI5W07ZLA","UT_Herbert/tPqI5W07ZLA"
"gov2012","UT","Herbert",62.066667,"xHbrbUY9_AA","UT_Herbert/xHbrbUY9_AA"
"gov2012","UT","Herbert",27.676667,"xoDjAjn9ITc","UT_Herbert/xoDjAjn9ITc"
"gov2012","UT","Herbert",32.088333,"zsuS-e8A6YU","UT_Herbert/zsuS-e8A6YU"
"gov2012","VT","Brock",30.091667,"8JA0_WfRBQU","VT_Brock/8JA0_WfRBQU"
"gov2012","VT","Brock",30.045,"Auv1qwQd7gg","VT_Brock/Auv1qwQd7gg"
"gov2012","VT","Brock",30,"enObHYD_-SM","VT_Brock/enObHYD_-SM"
"gov2012","VT","Brock",30.161667,"O7tUZxugU_E","VT_Brock/O7tUZxugU_E"
"gov2012","VT","Brock",30.045,"P82NFab7QiU","VT_Brock/P82NFab7QiU"
"gov2012","VT","Shumlin",30.045,"TxNsKsnYcWg","VT_Shumlin/TxNsKsnYcWg"
"gov2012","VT","Shumlin",30.045,"WYI8I885Gls","VT_Shumlin/WYI8I885Gls"
"gov2012","WA","Inslee",32.135,"8ZHtq7UFxAs","WA_Inslee/8ZHtq7UFxAs"
"gov2012","WA","Inslee",32.088333,"czd0d0UNHoY","WA_Inslee/czd0d0UNHoY"
